baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
73362.16718696181	3.003934731451213	0.1623326025019956	18.50481471467991	1.888271100483151e-76	4.324140820106416e-74	ENSG00000159140
102037.38161187505	3.776065809999348	0.22968993588170492	16.43984006310185	9.918032838803797e-61	1.1356147600430348e-58	ENSG00000197381
21827.944688307914	3.1729625411300577	0.21639001939944835	14.663164918308366	1.1097710535765647e-48	8.471252375634443e-47	ENSG00000154734
5867.245695226647	2.7924669108859117	0.19732051179739962	14.151934258882822	1.816901635848835e-45	1.040176186523458e-43	ENSG00000142168
42689.038788377205	2.72694201652537	0.19325580466077222	14.11053096858878	3.271057929838545e-45	1.4981445318660536e-43	ENSG00000142185
20689.578508390026	3.138933338689676	0.23071659644862513	13.605147557681828	3.732144166064371e-42	1.424435023381235e-40	ENSG00000154727
3914.543418984513	-0.6672481513736104	0.20855678844063777	-3.1993595430892987	0.0013773328186257332	0.0450584593521847	ENSG00000154639
6326.728237765225	-0.640391194930822	0.222912917159273	-2.8728312521847155	0.004068113475402037	0.11644974823338332	ENSG00000171587
2764.344939141608	-0.5523808823452674	0.2016952574841806	-2.7386904840268333	0.006168441543821871	0.15695256817057873	ENSG00000280433
1229.856152712242	-0.6129014774718984	0.23265002091206943	-2.634435514207608	0.008427731084611307	0.17706048627039322	ENSG00000184221
3839.511120866884	-0.5240402416697795	0.199153975331096	-2.631332067555046	0.008505088860149893	0.17706048627039322	ENSG00000142207
2044.899637209612	-0.4333367844017469	0.1843280418788206	-2.350899949811367	0.018728068774992553	0.32277761917866477	ENSG00000159228
4096.016396394754	-0.47922356741232813	0.2052693877458591	-2.334608061508166	0.019563905035704682	0.32277761917866477	ENSG00000160208
1766.5128913214928	-0.6092192472441955	0.265631528537575	-2.2934749146617897	0.021820677964514406	0.32277761917866477	ENSG00000249624
7279.966738152462	0.4293187672891694	0.18792355922194712	2.2845393577402526	0.022339852268581095	0.32277761917866477	ENSG00000160183
200.95657281629755	-1.0065034279788097	0.4412674380352828	-2.2809374570219973	0.022552148064884876	0.32277761917866477	ENSG00000279493
3579.0327070905987	-0.4169385330783159	0.18758251074034468	-2.2226940637096506	0.02623643646718502	0.35342023241090414	ENSG00000160213
1007.0181611534548	0.5247414390464356	0.24167982694042242	2.1712256487828085	0.02991411943223392	0.380574074998976	ENSG00000285815
8658.827072558863	-0.3585320020075593	0.1783455007559166	-2.010322662965553	0.044397049781243834	0.5190762697996629	ENSG00000182871
131.4082881756075	0.8713925790384319	0.4367786653110084	1.995043824812177	0.046038100284771746	0.5190762697996629	ENSG00000186925
509.0402104668631	-0.5509381116693705	0.278123137634599	-1.9809143401553255	0.04760088063665031	0.5190762697996629	ENSG00000276612
1153.2013288793378	-0.5325180726931225	0.2727630359626041	-1.9523102564605963	0.05090138049177246	0.529837096937086	ENSG00000215454
3507.680142215655	-0.5298266968646751	0.27730899244404905	-1.910600490070927	0.056055941349225355	0.5400621061658398	ENSG00000142149
5512.070758876289	-0.3859461987448464	0.202501645639759	-1.905891665845653	0.0566642625679989	0.5400621061658398	ENSG00000154654
5957.712292678554	0.3190613854870432	0.16894955971433934	1.8885008402893362	0.05895874521461133	0.5400621061658398	ENSG00000159110
1289.1213768811301	0.4524657162618264	0.2418851488168935	1.8705808044641135	0.06140320729252727	0.5408205565380286	ENSG00000276076
2734.117399551844	0.36522346930020805	0.19774718039259265	1.846921248510954	0.06475855467007391	0.5492484822017379	ENSG00000159261
2874.6760571657096	0.3988609165992609	0.22536630967537685	1.7698338193219292	0.07675482823368934	0.6073532314407427	ENSG00000241837
3377.700819691875	0.3327758531424255	0.1887753347206245	1.7628142661482373	0.07793182049490754	0.6073532314407427	ENSG00000156239
189.50284192100725	0.6246883877424241	0.3607464839343349	1.731654820109441	0.08333503932651697	0.6073532314407427	ENSG00000160182
423.62232011400647	0.594529785337846	0.34634158461945563	1.7165994836891683	0.08605237689763293	0.6073532314407427	ENSG00000159197
376.40778982862156	0.5969985518687371	0.3482446735867056	1.7143077759668792	0.08647221578800583	0.6073532314407427	ENSG00000156282
2717.6746379207207	0.32663329736018987	0.19197130335810153	1.7014693948860213	0.08885488007016201	0.6073532314407427	ENSG00000185272
6503.370962050253	-0.30178832903068065	0.1787836255664736	-1.6880087763880403	0.09140954422988741	0.6073532314407427	ENSG00000159086
4853.716836151943	-0.3144480591487653	0.1870967803363402	-1.6806706057874872	0.09282691310229693	0.6073532314407427	ENSG00000184012
206.5423268396214	-0.5951365523174925	0.3589792317848625	-1.6578578915511186	0.09734615311005142	0.6153455868245501	ENSG00000198390
13678.128753530778	-0.288230922735097	0.17805424575225567	-1.618781520863821	0.10549427947005094	0.6153455868245501	ENSG00000160305
1803.7154436618043	0.38100371115122705	0.23636345325540647	1.6119400266991664	0.10697499098297568	0.6153455868245501	ENSG00000278961
4147.690314810707	0.2688984981995649	0.1672688303602642	1.6075828211413352	0.10792657709974487	0.6153455868245501	ENSG00000159263
270.870697854823	0.5914830988675048	0.3723270148028812	1.5886118260332254	0.11214805660614147	0.6153455868245501	ENSG00000186971
3141.727159846173	0.329531396464412	0.20770747353949337	1.5865168010035762	0.1126221239940778	0.6153455868245501	ENSG00000157557
17457.123637157438	-0.25229385046551334	0.15912810553562773	-1.585476365826692	0.11285814256170788	0.6153455868245501	ENSG00000157554
85.3295284952897	0.8494235872104603	0.5456049915335893	1.5568471703730131	0.11950677485527997	0.619580665533765	ENSG00000231068
