gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000142168	6492.491486941177	2.983575825471886	0.22549280301786234	13.231357212032806	5.7833511112004415e-40	1.8919820063784302e-38
ENSG00000160307	4685.832904934511	3.3558475553027955	0.2879864636210373	11.652796152664907	2.2205118738885716e-31	6.356215239006036e-30
ENSG00000159197	1664.5910683943343	2.2368500543982885	0.2030148332861774	11.018160684077404	3.1237675205050167e-28	7.948252913284986e-27
ENSG00000160284	7003.162508721516	3.4481385481881746	0.5555795136626693	6.206381739053426	5.421838606683082e-10	1.2416010409304257e-8
ENSG00000183421	2747.7895104417407	-0.6383021897005793	0.17972096035734367	-3.5516290833936517	3.8285414749586846e-4	0.007970327252413988
ENSG00000166265	1156.4845136422753	-0.6764644670860671	0.20804845676678704	-3.251475534107678	0.00114807656214164	0.021909127727536292
ENSG00000156256	5807.126242652261	-0.4473424245508986	0.1460190488150895	-3.0635894986371843	0.0021869877708587744	0.038524630732819955
ENSG00000272804	578.3425402556729	-1.0507470246091946	0.3577092136862475	-2.9374334918049434	0.003309411483903926	0.05413251641528565
ENSG00000154736	2764.2776665763267	-0.6525077663843957	0.22772183570215787	-2.865371976176339	0.004165196546542512	0.06358866727721568
ENSG00000184900	2641.1930664685706	0.5373767677703073	0.1955215194302086	2.7484277400070223	0.005988183254585537	0.0857058728312555
ENSG00000285815	1192.5264508774737	-0.5589458730675089	0.21465130682249392	-2.6039714425299523	0.009215043465311788	0.12413205609155291
ENSG00000275464	3624.4127043603285	-0.45208827395446594	0.17804578718394606	-2.539168609967704	0.011111625764343701	0.14136457222415041
ENSG00000154721	4215.65737167181	-0.4705789909400685	0.1921292576580045	-2.449283345370086	0.014314079507902876	0.17252232670051362
ENSG00000184351	193.13711103128378	0.9760644457526295	0.4149134215233349	2.352453295362332	0.018650031707500514	0.21354286305088088
ENSG00000142178	2034.3260226770235	0.5071053832334123	0.21770802545076953	2.329291178786077	0.019843645375611924	0.21639022814357764
ENSG00000156284	755.7581218705749	-0.6282211285158247	0.27852363461911545	-2.2555397475511367	0.024099470314327916	0.24567872195370138
ENSG00000157542	8978.093161088404	0.4054398524721835	0.18092446130425927	2.2409344184275803	0.025030323382390522	0.24567872195370138
ENSG00000156282	399.7540915974266	-0.8606772592244685	0.38595534988659874	-2.2299917839650423	0.025747988327025476	0.24567872195370138
ENSG00000160213	3465.8835583067867	0.4603036447186613	0.226637047572096	2.0310167717492575	0.0422532932776348	0.38704016642313477
ENSG00000186965	136.95410467678784	-0.9417353394523422	0.4733350127462127	-1.9895746439473114	0.04663781162455831	0.41077149469322516
ENSG00000160282	4488.801732004356	0.3350349859019832	0.17079792069253513	1.9615870295347584	0.049810583564170834	0.4224675420813008
ENSG00000184724	161.98964616291826	0.8427223059991141	0.4352530410011467	1.9361663828028117	0.05284732633244977	0.4322156332189642
ENSG00000205929	1291.5522755598913	-0.394312333764142	0.20805524225335592	-1.8952290242414296	0.0580620665237821	0.4584901115153827
ENSG00000171189	8604.012052206932	-0.31905273692653546	0.1715355728237463	-1.8599800127426853	0.06288835382696284	0.48004776754581635
ENSG00000160214	4552.254157683402	0.31563834073975855	0.1719106386598734	1.8360605440146818	0.06634870287347193	0.4901242889685507
ENSG00000205670	1965.204758837815	0.403314891686832	0.2241657043496292	1.7991819616518387	0.07198990187060826	0.5049655743762419
ENSG00000160216	13268.637385458995	0.2892411722579274	0.16120150865368554	1.79428328353498	0.07276796486644534	0.5049655743762419
ENSG00000154734	4209.3153346975505	-0.315085034088817	0.18485383906083486	-1.7045090093320887	0.08828603436608283	0.5463702729904429
ENSG00000142182	1437.9570781426778	0.43497245214255553	0.257993711453886	1.6859808314370595	0.09179949147043033	0.5463702729904429
ENSG00000156239	3403.6520394740337	-0.4019205295507521	0.23893113784389103	-1.6821605303422296	0.09253771543524535	0.5463702729904429
ENSG00000183778	7339.553702642702	-0.294655925295662	0.1760726990753352	-1.6734901369893196	0.09423084658634087	0.5463702729904429
ENSG00000159082	13437.700371167972	0.2819525933879513	0.1690287320661235	1.6680749476228238	0.09530084967496637	0.5463702729904429
ENSG00000244362	175.60258466208006	0.7141493977608177	0.428414657214854	1.66695836786617	0.09552268345019647	0.5463702729904429
ENSG00000159263	4656.3373085694775	-0.37520648030143916	0.2264123700433962	-1.6571818943882075	0.09748270592493143	0.5463702729904429
ENSG00000156299	8644.28783795578	0.27079450646470465	0.16410805585102411	1.6500988026482355	0.09892272962370816	0.5463702729904429
ENSG00000205581	7601.859062979019	0.2630920425080911	0.1600464745940497	1.6438477834354779	0.10020764832139127	0.5463702729904429
ENSG00000185437	2334.7672372496804	0.39539621484206666	0.24861630588282835	1.5903872975588937	0.11174753178728156	0.5951205762624994
ENSG00000182240	6920.568514920063	-0.3706044206673706	0.23522691712167587	-1.5755187595119822	0.11513675180562213	0.5992344582610788
ENSG00000244025	206.0967330811181	0.7565175445637334	0.48880465666458633	1.547688906496751	0.12169721426908893	0.6193036015026969
ENSG00000186866	8024.528256358822	-0.2580331930787769	0.16804624760172948	-1.5354891689716095	0.12466371555443903	0.6206084969992726
ENSG00000205445	534.0506117127237	0.4615666247173771	0.3091303384496095	1.4931133159957244	0.13540752747784676	0.6517353569247153
ENSG00000277277	617.4341958800637	0.5731537579217532	0.3868767000479307	1.4814894715829212	0.13847618842871406	0.6517353569247153
ENSG00000160233	2199.71938749204	0.4751835381067933	0.3222319797021967	1.4746628765585366	0.1403032013989527	0.6517353569247153
ENSG00000177692	2184.187295762969	-0.2708206837221169	0.18457346335400382	-1.4672785502360903	0.1423002962717719	0.6517353569247153
ENSG00000160221	5499.926288889148	-0.22950834488965235	0.15950433584006976	-1.4388846778420714	0.15018319940043262	0.6743520129940994
ENSG00000142149	3848.692623053748	0.2752300793742496	0.1983517543765987	1.3875858080472865	0.1652632054489118	0.7277937316884769
ENSG00000221837	757.7282328353105	-0.3984608498342799	0.29943972754423975	-1.3306879922117567	0.18329169571365062	0.7756337786271638
