gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000142192	52216.878883107616	3.216007302291526	0.1396543642402669	23.02833369932199	2.42537410870615e-117	5.554106708937084e-115
ENSG00000142168	5866.508349755448	2.9788352853709372	0.17305414531200058	17.213313671281167	2.110048454514517e-66	2.416005480419122e-64
ENSG00000285815	1033.713219857395	0.8742002020880792	0.24313268093311374	3.5955684720499312	3.236839748124924e-4	0.024707876744020252
ENSG00000275464	3942.3867718902598	0.46609387476001085	0.17120588092348896	2.722417432426319	0.006480622548306346	0.35154945272452287
ENSG00000180509	7574.747011849311	-0.39699034230210367	0.15018625090232668	-2.643320143601464	0.008209736942316396	0.35154945272452287
ENSG00000242220	1714.9958573891831	0.6207386034098795	0.24509770969592676	2.53261690686535	0.011321460999813182	0.35154945272452287
ENSG00000142197	3577.6522903929867	-0.5276094847723559	0.21018186063065394	-2.5102522319921206	0.012064495244597363	0.35154945272452287
ENSG00000249624	2316.78502236543	-0.5895896288567467	0.23546291030948266	-2.5039596600662697	0.01228120358862962	0.35154945272452287
ENSG00000197683	405.43691853019965	-0.7838468064266838	0.37839009434268833	-2.071530989172233	0.038309201556038223	0.8377810157272727
ENSG00000241123	465.20859256250816	-0.69113177675402	0.3499757687852781	-1.9747989386603866	0.048290969547216456	0.8377810157272727
ENSG00000249209	437.29072070055946	-0.6973765552728705	0.36561876504903973	-1.90738720749011	0.056470464710067475	0.8377810157272727
ENSG00000184351	238.9374183524847	-0.8867132792087208	0.4691412463553744	-1.8900774257163389	0.0587476057542556	0.8377810157272727
ENSG00000159261	2995.6752257612598	-0.3181617584256444	0.1701288223469511	-1.8701226167121956	0.0614667924421991	0.8377810157272727
ENSG00000142166	2057.616958947757	-0.49004195858838245	0.2680666170476435	-1.8280603679244674	0.06754049209687686	0.8377810157272727
ENSG00000141959	19003.31323867164	-1.9413810928037298	1.074146479233575	-1.8073709036303354	0.07070446749356785	0.8377810157272727
ENSG00000159212	2371.191908910686	0.4671085956516223	0.2586942462165845	1.8056396788220361	0.07097464053963734	0.8377810157272727
ENSG00000276289	2725.5164223438355	0.3475435466147536	0.19514603060850935	1.780940896061449	0.0749221067283381	0.8377810157272727
ENSG00000275993	2025.750910358561	-0.4308554238309121	0.24232199871058485	-1.7780285162863008	0.07539917152389307	0.8377810157272727
ENSG00000155313	6598.783847579026	-0.2898691488677934	0.16710053409335032	-1.7346991165561367	0.08279411287479166	0.8377810157272727
ENSG00000157617	9568.339314538694	0.2930566190891078	0.16899502293132165	1.734113904692944	0.08289787485713776	0.8377810157272727
ENSG00000160224	4418.405615683967	-0.31509201128640635	0.18217750141124675	-1.7295879504633171	0.08370392040304865	0.8377810157272727
ENSG00000154645	5071.926971195197	-0.26344418143403936	0.152524335278379	-1.727227205765005	0.08412686666437283	0.8377810157272727
ENSG00000154734	3924.448274751128	0.3297561571220889	0.19191997626540117	1.7181961124571923	0.08576085039453919	0.8377810157272727
ENSG00000159082	14472.993571510504	0.24112705542294943	0.14313900503841198	1.6845656804603464	0.09207239744735812	0.8377810157272727
ENSG00000175894	3985.6140211511647	-0.3067717129026051	0.18297813205105906	-1.6765485004350251	0.09363080454463263	0.8377810157272727
ENSG00000205439	110.3030123526039	1.015177678790534	0.6170547403880423	1.6451987357752527	0.09992883416301261	0.8377810157272727
ENSG00000142149	3163.9845057553034	-0.33928043485799986	0.20733255498579775	-1.6364069544275885	0.10175444467184935	0.8377810157272727
ENSG00000184787	4881.655403171489	-0.2658739062442558	0.16279757768284012	-1.633156402131655	0.10243610672647875	0.8377810157272727
ENSG00000243927	2937.223288613759	-0.2893243088231236	0.18064753250694296	-1.6015956864066427	0.10924504531379227	0.8527804047996944
ENSG00000160199	5672.494006111001	0.27522206943185046	0.18014820153604708	1.5277536333149537	0.12657371829589154	0.8527804047996944
ENSG00000157542	6828.703657192935	-0.3303658766811041	0.21857516946157932	-1.5114519983898498	0.13067332969792558	0.8527804047996944
ENSG00000186970	227.70744335974803	0.6968237129731596	0.46235872241820736	1.5071062341565964	0.13178342909560317	0.8527804047996944
ENSG00000188992	1869.524926790243	0.39239993132779544	0.26176077931758207	1.4990784041474563	0.13385329334444443	0.8527804047996944
ENSG00000160182	200.98718867215615	-0.6851450553230303	0.46063730530080865	-1.4873850802761448	0.13691313511326444	0.8527804047996944
ENSG00000159263	4111.8723199138585	-0.2782880918037696	0.18815134148663568	-1.4790651483265471	0.13912290373520056	0.8527804047996944
ENSG00000221864	247.61955781854786	-0.6589552836677343	0.44687629344669916	-1.4745809820997602	0.14032523095614977	0.8527804047996944
ENSG00000159128	3068.3326464887878	-0.42357682864561147	0.28917646989424756	-1.4647693458617654	0.14298385791537413	0.8527804047996944
ENSG00000171587	6475.973734839736	-0.38250887990171545	0.2622910571667107	-1.4583374821604955	0.14474754359514935	0.8527804047996944
ENSG00000182591	338.40624709389056	0.6331975567939047	0.4347163345183329	1.456576407453126	0.14523334404885627	0.8527804047996944
ENSG00000183844	2400.7477692207817	0.3027317744649216	0.21614739342126627	1.4005802692003988	0.16133962456577472	0.9065905248199396
ENSG00000186924	97.60160850843819	0.804365817715173	0.5809447831920087	1.3845822201820532	0.16618025119224789	0.9065905248199396
ENSG00000186971	329.7792619385715	0.6014272063016661	0.43474560345060786	1.3834003185497314	0.16654215293890587	0.9065905248199396
ENSG00000184221	1182.4745897692546	0.3684832285044047	0.26913047567161597	1.3691620303678118	0.1709486319103083	0.9065905248199396
