UniqueCount	AmbigCount
0	587
0	2131
18	1163
24	5935
63	1604
0	3877
84	800
142	198
43	4006
0	5048
0	2052
3	493
0	1540
2	1281
16	1759
245	202
182	272
126	4001
28	3030
2	1006
10	3799
70	442
309	3
127	3
71	187
64	145
63	5907
0	6117
441	0
173	3136
179	328
31	8810
0	9821
0	10235
0	8686
0	10168
0	7885
35	552
1	1115
11	1154
56	1582
0	3855
3	4176
0	3374
0	3696
0	3633
1	3572
27	7060
0	2706
0	1603
196	106
130	2963
0	687
0	1582
1	774
0	1248
0	1231
172	0
0	1799
0	1243
0	1224
16	1689
127	1220
0	1214
375	790
404	383
70	829
308	446
2	6946
2	6916
0	1455
35	563
280	2871
102	572
108	2964
53	2701
103	2430
535	839
146	839
75	1041
0	1096
31	1003
0	184
8	1816
94	406
26	1383
81	94
8	1723
11	481
923	89
55	89
55	2553
28	3493
0	3916
113	4114
119	3618
0	3916
417	6
0	126
325	214
122	265
99	0
162	0
52	6521
54	6585
50	6508
133	576
90	458
203	29
162	31
64	4084
63	2412
37	4677
59	4754
0	1029
14	747
302	12
22	311
0	403
1197	939
2309	1443
162	1038
119	4
59	380
173	1103
123	769
91	785
153	234
129	8
224	156
135	56
757	1209
84	1207
50	800
40	669
246	334
120	0
93	4981
0	4764
0	4770
0	4987
327	4920
30	3439
0	4688
1103	186
198	186
172	41
1626	4482
54	455
0	4482
28	338
68	26
59	855
42	855
83	583
156	1388
1	3550
85	3282
144	740
567	5
25	48
129	65
107	288
42	897
35	930
67	892
44	915
155	1061
186	1099
335	291
145	4075
113	4091
61	279
0	8711
9	7219
0	7821
5	8515
36	7535
82	7030
0	7021
158	867
85	6097
304	3882
172	345
82	606
89	2363
90	833
162	0
196	11
67	0
822	293
79	293
400	1626
507	1453
0	611
12	351
27	334
22	183
2173	0
0	2528
43	2314
59	590
0	10698
0	10795
3	10795
65	239
126	298
276	4288
313	2263
280	1861
17	1905
97	1619
30	1871
7	486
5	545
49	191
120	4986
0	5240
76	5075
721	4903
183	341
555	826
150	210
83	2260
132	756
34	2542
25	2730
27	2547
101	55
223	70
38	1044
109	746
116	834
130	115
238	915
0	401
125	677
0	4498
72	4736
58	4564
59	4405
0	4215
123	4117
14	3598
104	1187
58	3996
17	1527
49	1420
102	179
68	1778
57	7
94	7
78	7
172	12
18	5682
122	5684
58	0
10	1157
22	1147
34	803
102	539
100	335
580	148
0	6621
0	6661
0	6907
0	7267
16	6065
0	7125
0	6969
21	3702
214	0
496	0
495	0
88	0
429	0
246	0
50	0
156	0
270	0
316	0
239	0
201	0
116	0
102	0
235	0
111	0
207	0
99	0
132	0
70	0
171	0
141	0
106	0
225	0
49	0
134	0
92	0
65	0
76	0
105	0
108	0
133	0
259	0
164	0
57	0
190	6063
166	58
75	6024
160	3508
293	158
210	881
49	826
82	767
46	740
99	44
320	726
0	7464
87	6982
97	6608
825	3295
283	20
190	1741
1662	335
47	130
180	192
133	70
943	1
99	1
77	1280
97	1128
89	1238
77	6
2498	909
258	38
247	0
149	1757
208	276
0	4236
1	2719
2	3342
156	2308
6	3214
45	3391
103	43
161	933
445	3147
106	286
45	1426
1282	727
414	339
22	554
26	538
94	973
71	1096
125	0
61	1263
1	3236
82	1976
55	713
94	1235
112	1653
81	851
21	12623
0	12615
0	6329
0	12378
0	12685
3	8531
62	493
434	22
34	455
0	4165
4	821
44	5330
408	2813
18	4271
268	1775
64	3496
169	1
58	64
